Extraction started: 2026-06-19T10:01:06-04:00
EXTRACT super.img_sparsechunk.59 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.59
EXTRACT super.img_sparsechunk.34 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.34
EXTRACT super.img_sparsechunk.6 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.6
EXTRACT super.img_sparsechunk.33 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.33
EXTRACT super.img_sparsechunk.52 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.52
EXTRACT super.img_sparsechunk.39 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.39
EXTRACT cid_template.dat -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\cid_template.dat
EXTRACT super.img_sparsechunk.43 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.43
EXTRACT signing-info.txt -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\signing-info.txt
EXTRACT super.img_sparsechunk.50 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.50
EXTRACT spmfw.img -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\spmfw.img
EXTRACT GNEVAN_G_U1THS34.65-74-1-7-8_subsidy-DEFAULT_regulatory-DEFAULT_cid50_CFC.info.txt -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\GNEVAN_G_U1THS34.65-74-1-7-8_subsidy-DEFAULT_regulatory-DEFAULT_cid50_CFC.info.txt
EXTRACT super.img_sparsechunk.17 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.17
EXTRACT super.img_sparsechunk.16 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.16
EXTRACT super.img_sparsechunk.18 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.18
EXTRACT super.img_sparsechunk.25 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.25
EXTRACT super.img_sparsechunk.14 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.14
EXTRACT super.img_sparsechunk.30 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.30
EXTRACT super.img_sparsechunk.31 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.31
EXTRACT tee.img -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\tee.img
EXTRACT super.img_sparsechunk.63 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.63
EXTRACT super.img_sparsechunk.37 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.37
EXTRACT dtbo.img -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\dtbo.img
EXTRACT super.img_sparsechunk.21 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.21
EXTRACT super.img_sparsechunk.35 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.35
EXTRACT super.img_sparsechunk.47 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.47
EXTRACT preloader.img -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\preloader.img
EXTRACT super.img_sparsechunk.5 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.5
EXTRACT super.img_sparsechunk.36 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.36
EXTRACT super.img_sparsechunk.1 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.1
EXTRACT super.img_sparsechunk.51 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.51
EXTRACT super.img_sparsechunk.15 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.15
EXTRACT vbmeta.img -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\vbmeta.img
EXTRACT super.img_sparsechunk.24 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.24
EXTRACT sspm.img -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\sspm.img
EXTRACT super.img_sparsechunk.12 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.12
EXTRACT super.img_sparsechunk.4 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.4
EXTRACT super.img_sparsechunk.3 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.3
EXTRACT vbmeta_system.img -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\vbmeta_system.img
EXTRACT super.img_sparsechunk.60 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.60
EXTRACT super.img_sparsechunk.22 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.22
EXTRACT super.img_sparsechunk.58 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.58
EXTRACT super.img_sparsechunk.2 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.2
EXTRACT gz.img -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\gz.img
EXTRACT super.img_sparsechunk.7 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.7
EXTRACT logo.img -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\logo.img
EXTRACT super.img_sparsechunk.56 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.56
EXTRACT super.img_sparsechunk.10 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.10
EXTRACT super.img_sparsechunk.38 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.38
EXTRACT super.img_sparsechunk.54 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.54
EXTRACT super.img_sparsechunk.27 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.27
EXTRACT super.img_sparsechunk.41 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.41
EXTRACT PGPT -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\PGPT
EXTRACT servicefile.xml -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\servicefile.xml
EXTRACT md1img.img -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\md1img.img
EXTRACT super.img_sparsechunk.23 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.23
EXTRACT super.img_sparsechunk.11 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.11
EXTRACT super.img_sparsechunk.62 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.62
EXTRACT super.img_sparsechunk.57 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.57
EXTRACT super.img_sparsechunk.28 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.28
EXTRACT super.img_sparsechunk.13 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.13
EXTRACT super.img_sparsechunk.29 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.29
EXTRACT boot.img -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\boot.img
EXTRACT super.img_sparsechunk.20 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.20
EXTRACT super.img_sparsechunk.48 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.48
EXTRACT scp.img -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\scp.img
EXTRACT lk.img -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\lk.img
EXTRACT super.img_sparsechunk.55 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.55
Extraction completed: 2026-06-19T10:02:45-04:00
