original_filename,copied_filename,sanitized_source_label,copied_relative_path,size_bytes,created_time,modified_time,sha256,detected_format,project_category,apparent_version,authority_classification,duplicate_group,family_group,notes
Natural_Math_v2.3.pdf,Natural_Math_v2.3.pdf,downloads_natural_math/Natural_Math_v2.3.pdf,01_NATURAL_MATH_CORE/Natural_Math_v2.3.pdf,8253822,2026-06-08T03:49:38.983246+00:00,2026-06-08T03:50:08.509181+00:00,44936665897cea6e1710b57d8c81c4cfba7247a0c162ef3d47f9838af35c6003,pdf,01_NATURAL_MATH_CORE,v2.3,PUBLICATION_DRAFT,,natural math,PDF release candidate.
Natural_Math_v2.2.pdf,Natural_Math_v2.2.pdf,downloads_natural_math/Natural_Math_v2.2.pdf,01_NATURAL_MATH_CORE/Natural_Math_v2.2.pdf,4608684,2026-06-07T02:21:40.518746+00:00,2026-06-07T02:21:58.031439+00:00,fa27255bf5ec23b226fcac8ab1b91e393788b16750180f1d9dc923696a6e3b67,pdf,01_NATURAL_MATH_CORE,v2.2,SUPERSEDED,,natural math,Earlier Natural Math release.
Natural_Math_v2.2.1.py,Natural_Math_v2.2.1.py,downloads_natural_math/Natural_Math_v2.2.1.py,01_NATURAL_MATH_CORE/Natural_Math_v2.2.1.py,3675,2026-06-08T21:06:06.507394+00:00,2026-06-08T21:06:06.711396+00:00,6be5e72012e378cec0cd2f4e87ee2e7d7d76512a5f76332c518e015b23039eff,py,01_NATURAL_MATH_CORE,v2.2.1,EXPERIMENTAL_IMPLEMENTATION,,natural math,Earlier implementation.
Natural Math Full Implementation v1.0.py,Natural Math Full Implementation v1.0.py,downloads_natural_math/Natural Math Full Implementation v1.0.py,01_NATURAL_MATH_CORE/Natural Math Full Implementation v1.0.py,40831,2026-06-08T09:11:45.946490+00:00,2026-06-08T07:57:11.505896+00:00,8babf8eb8592be161aeeeca0a920dfaa245489327affc9f63845355ce0f82994,py,01_NATURAL_MATH_CORE,v1.0,REFERENCE_IMPLEMENTATION,exact-8babf8eb8592,natural math full implementation,Single-file consolidated implementation.
decisions.py,decisions.py,fractalish_workspace/natural_math/decisions.py,01_NATURAL_MATH_CORE/decisions.py,3020,2026-06-07T02:38:21.156415+00:00,2026-06-08T06:57:22.274072+00:00,96e649b919ae03b74c0b18fcb6a7cce7d5b220d0e00fca237b8cc91f1b011299,py,01_NATURAL_MATH_CORE,,REFERENCE_IMPLEMENTATION,,decisions,Canonical package-based Natural Math runtime in workspace.
energy.py,energy.py,fractalish_workspace/natural_math/energy.py,01_NATURAL_MATH_CORE/energy.py,300,2026-06-07T02:38:21.378529+00:00,2026-06-08T06:56:35.438670+00:00,177532f61c2b530429e238fd70d9e0698c0f5cddad48b71dcf5aa10ace83a6ca,py,01_NATURAL_MATH_CORE,,REFERENCE_IMPLEMENTATION,,energy,Canonical package-based Natural Math runtime in workspace.
export.py,export.py,fractalish_workspace/natural_math/export.py,01_NATURAL_MATH_CORE/export.py,1778,2026-06-07T02:38:21.603450+00:00,2026-06-08T07:26:58.637779+00:00,4df62733075aeefe4b10c2538f5d9167b0060df4d22bbb7158506365823700e9,py,01_NATURAL_MATH_CORE,,REFERENCE_IMPLEMENTATION,,export,Canonical package-based Natural Math runtime in workspace.
invariants.py,invariants.py,fractalish_workspace/natural_math/invariants.py,01_NATURAL_MATH_CORE/invariants.py,3119,2026-06-08T07:23:10.080610+00:00,2026-06-08T07:23:10.080610+00:00,2f5702d3a0e0ebd5dafb38fce37aa951b432027be7ddd148ff06eaae25cb410f,py,01_NATURAL_MATH_CORE,,REFERENCE_IMPLEMENTATION,,invariants,Canonical package-based Natural Math runtime in workspace.
lattice.py,lattice.py,fractalish_workspace/natural_math/lattice.py,01_NATURAL_MATH_CORE/lattice.py,2166,2026-06-07T02:38:21.305019+00:00,2026-06-08T07:31:47.019576+00:00,4e678a75950ff9863315acbeecc7daba160cea46a7c386b8f7fda707eb9f5fc9,py,01_NATURAL_MATH_CORE,,REFERENCE_IMPLEMENTATION,,lattice,Canonical package-based Natural Math runtime in workspace.
presets.py,presets.py,fractalish_workspace/natural_math/presets.py,01_NATURAL_MATH_CORE/presets.py,2573,2026-06-07T02:38:21.527448+00:00,2026-06-08T07:37:11.247587+00:00,aefa786ff48e38c7db31a55ee449f3738ca2ce653fc1e9271c4dd79214d215b6,py,01_NATURAL_MATH_CORE,,REFERENCE_IMPLEMENTATION,,presets,Canonical package-based Natural Math runtime in workspace.
pressure.py,pressure.py,fractalish_workspace/natural_math/pressure.py,01_NATURAL_MATH_CORE/pressure.py,364,2026-06-07T02:38:21.453440+00:00,2026-06-08T06:56:43.157773+00:00,235953972cf3b527b9505dac1c56d2ba1876d0ee2ca7640942c89e3b025bfb95,py,01_NATURAL_MATH_CORE,,REFERENCE_IMPLEMENTATION,,pressure,Canonical package-based Natural Math runtime in workspace.
simulator.py,simulator.py,fractalish_workspace/natural_math/simulator.py,01_NATURAL_MATH_CORE/simulator.py,22405,2026-06-07T02:38:21.678828+00:00,2026-06-08T07:36:05.867979+00:00,42c23596d5a085bb38c23944d80307a84e97d65458d0d128c810a768c1f3ca83,py,01_NATURAL_MATH_CORE,,REFERENCE_IMPLEMENTATION,,simulator,Canonical package-based Natural Math runtime in workspace.
state.py,state.py,fractalish_workspace/natural_math/state.py,01_NATURAL_MATH_CORE/state.py,1128,2026-06-07T02:38:21.230415+00:00,2026-06-08T07:26:05.808580+00:00,d8d9378da85cb0ff8183bedbc8cc96659467656ef8c4799dc245a2455df06d2d,py,01_NATURAL_MATH_CORE,,REFERENCE_IMPLEMENTATION,,state,Canonical package-based Natural Math runtime in workspace.
__init__.py,__init__.py,fractalish_workspace/natural_math/__init__.py,01_NATURAL_MATH_CORE/__init__.py,746,2026-06-07T02:38:21.081414+00:00,2026-06-08T07:23:16.932371+00:00,8573c5d970918748df51cfd27b4fe65179cb9ea628b58dadf3f7e559e19b000f,py,01_NATURAL_MATH_CORE,,REFERENCE_IMPLEMENTATION,,init,Canonical package-based Natural Math runtime in workspace.
natural_math_run.py,natural_math_run.py,fractalish_workspace/tools/natural_math_run.py,01_NATURAL_MATH_CORE/natural_math_run.py,5969,2026-06-08T06:59:18.032119+00:00,2026-06-08T07:37:21.030171+00:00,703248a337435132f2d5841abd864df5b29e772e25e731a43ae1dfbb4a1246bc,py,01_NATURAL_MATH_CORE,,REFERENCE_IMPLEMENTATION,,natural math run,CLI runner.
test_natural_math_package_smoke.py,test_natural_math_package_smoke.py,fractalish_workspace/tests/test_natural_math_package_smoke.py,10_TESTS_AND_FROZEN_RESULTS/test_natural_math_package_smoke.py,3579,2026-06-08T06:59:31.722707+00:00,2026-06-08T07:37:33.565484+00:00,56051b99991cbf2ec39c098cc372d7802713ef21ee20d2c20e915b37e754d6a9,py,10_TESTS_AND_FROZEN_RESULTS,,GENERATED_RESULT,,test natural math package smoke,Smoke tests for package.
natural_math_serious_paper.md,natural_math_serious_paper.md,fractalish_workspace/docs/natural_math_serious_paper.md,01_NATURAL_MATH_CORE/natural_math_serious_paper.md,17179,2026-06-05T06:09:19.584090+00:00,2026-06-05T06:09:19.584090+00:00,b6782018235e195ed6956daa58c0a30f2c0c1262b69dad24ddefeded0303eb9b,md,01_NATURAL_MATH_CORE,,PUBLICATION_DRAFT,,natural math serious paper,Reviewer-safer paper.
natural_math_framework_draft.md,natural_math_framework_draft.md,fractalish_workspace/docs/natural_math_framework_draft.md,01_NATURAL_MATH_CORE/natural_math_framework_draft.md,10087,2026-06-05T04:42:03.046642+00:00,2026-06-05T04:42:03.046642+00:00,d0f03e7fcb645356b22f7860647e73fc341d07e8de1bd868cf0ce62866b756f1,md,01_NATURAL_MATH_CORE,,PUBLICATION_DRAFT,,natural math framework draft,Framework draft.
natural_math_full_implementation_plan.md,natural_math_full_implementation_plan.md,fractalish_workspace/docs/natural_math_full_implementation_plan.md,01_NATURAL_MATH_CORE/natural_math_full_implementation_plan.md,7716,2026-06-08T06:54:08.178438+00:00,2026-06-08T06:54:08.178438+00:00,bae6a2804e818797e5383cebaee574e0c99dd76427f9af58dbff45d2cf2f9786,md,01_NATURAL_MATH_CORE,,THEORY_CONTEXT,,natural math full implementation plan,Implementation plan.
natural_math_runner_profiles.md,natural_math_runner_profiles.md,fractalish_workspace/docs/natural_math_runner_profiles.md,01_NATURAL_MATH_CORE/natural_math_runner_profiles.md,3987,2026-06-08T07:42:49.961600+00:00,2026-06-08T07:42:49.961600+00:00,0c71b9dc2b39dc330c64c0719e8c2d406c761685bf8cf3a961794cade2c87d18,md,01_NATURAL_MATH_CORE,,REFERENCE_IMPLEMENTATION,,natural math runner profiles,Runner profile documentation.
melissa_crystal_grain_v4_clean.py,melissa_crystal_grain_v4_clean.py,downloads_natural_math/melissa_crystal_grain_v4_clean.py,02_STICK_HISTORICAL/melissa_crystal_grain_v4_clean.py,10486,2026-06-15T18:49:53.806041+00:00,2026-06-15T22:39:32+00:00,8264c1fdf841c5827cd20e21be5cdc0fa044334c721379c23a01327b7b4808ba,py,02_STICK_HISTORICAL,,HISTORICAL_DISCOVERY,,melissa crystal grain clean,Melissa v4 discovery artifact.
melissa_v4_seed42_output.txt,melissa_v4_seed42_output.txt,downloads_natural_math/melissa_v4_seed42_output.txt,02_STICK_HISTORICAL/melissa_v4_seed42_output.txt,1954,2026-06-15T18:49:53.807043+00:00,2026-06-15T22:39:44+00:00,8e3c0643e4408f08bdcea5e9763333a305b3cfb41be598e29f38fb2cf23edc9f,txt,02_STICK_HISTORICAL,,GENERATED_RESULT,,melissa seed output,Historical seed-42 output.
Simple terms on what we are doing.txt,Simple terms on what we are doing.txt,downloads_natural_math/Simple terms on what we are doing.txt,02_STICK_HISTORICAL/Simple terms on what we are doing.txt,7331,2026-06-15T18:34:36.646114+00:00,2026-06-15T18:33:42+00:00,f036002b8233db7fb869f1fd916e551c4b3e7552275ec16292e170140813dd5e,txt,02_STICK_HISTORICAL,,THEORY_CONTEXT,,simple terms on what we are doing,Plain-language explanation.
user_pasted_clipboard_long_content_as_file_Natural_Math_Extension_The_“Stick”_Mech1.txt,user_pasted_clipboard_long_content_as_file_Natural_Math_Extension_The__Stick__Mech1.txt,downloads_natural_math/user_pasted_clipboard_long_content_as_file_Natural_Math_Extension_The_“Stick”_Mech1.txt,02_STICK_HISTORICAL/user_pasted_clipboard_long_content_as_file_Natural_Math_Extension_The__Stick__Mech1.txt,12744,2026-06-15T18:34:36.633115+00:00,2026-06-15T18:33:42+00:00,5ad163571b72ffc6a4c2b38e2513559217bf9b57c873109665224fd93800dcc5,txt,02_STICK_HISTORICAL,,THEORY_CONTEXT,,user pasted clipboard long content as file natural math extension the stick mech,Raw stick extension text artifact.
STICK_MECHANISM_TECHNICAL_ASSESSMENT.md,STICK_MECHANISM_TECHNICAL_ASSESSMENT.md,downloads_natural_math/STICK_MECHANISM_TECHNICAL_ASSESSMENT.md,03_STICK_AUDIT_AND_REFERENCE/STICK_MECHANISM_TECHNICAL_ASSESSMENT.md,8914,2026-06-15T18:49:53.810043+00:00,2026-06-15T22:41:34+00:00,cfbe6f7387ebaf1de63104de7200527d18c074dba80d86960e2fc189daddeb66,md,03_STICK_AUDIT_AND_REFERENCE,,CURRENT_SPECIFICATION,,stick mechanism technical assessment,Assessment of stick mechanism.
natural_math_stick_v5_hardened.py,natural_math_stick_v5_hardened.py,downloads_natural_math/natural_math_stick_v5_hardened.py,03_STICK_AUDIT_AND_REFERENCE/natural_math_stick_v5_hardened.py,17784,2026-06-15T18:49:53.808041+00:00,2026-06-15T22:39:32+00:00,525a0071b177fc3b7e2154d980439f29ccc647695527df2911f55bb197ec4aa0,py,03_STICK_AUDIT_AND_REFERENCE,,REFERENCE_IMPLEMENTATION,,natural math stick hardened,Hardened stick implementation.
validate_stick_models.py,validate_stick_models.py,downloads_natural_math/validate_stick_models.py,03_STICK_AUDIT_AND_REFERENCE/validate_stick_models.py,5439,2026-06-15T18:49:53.809044+00:00,2026-06-15T22:41:14+00:00,666ea58d328355939ba0164b0e8136622330123d3d344f47331d3a11d752c885,py,03_STICK_AUDIT_AND_REFERENCE,,REFERENCE_IMPLEMENTATION,,validate stick models,Validation harness.
stick_v5_seed42_output.json,stick_v5_seed42_output.json,downloads_natural_math/stick_v5_seed42_output.json,03_STICK_AUDIT_AND_REFERENCE/stick_v5_seed42_output.json,399,2026-06-15T18:49:53.809044+00:00,2026-06-15T22:39:44+00:00,7391c1e9993de28fef248b65156f26665499635ea976f1f4574cf055dc446415,json,03_STICK_AUDIT_AND_REFERENCE,,GENERATED_RESULT,,stick seed output,Seed-42 output for v5.
stick_validation_10_seed.json,stick_validation_10_seed.json,downloads_natural_math/stick_validation_10_seed.json,03_STICK_AUDIT_AND_REFERENCE/stick_validation_10_seed.json,1962,2026-06-15T18:49:53.810043+00:00,2026-06-15T22:41:34+00:00,24d1e0d40bd20bb566baf57576bb646c64032535022c2ecb33719a4f7cd51ba6,json,03_STICK_AUDIT_AND_REFERENCE,,GENERATED_RESULT,,stick validation seed,Validation run outputs.
Natural_Math_Stick_Audit_and_Hardened_Package.zip,Natural_Math_Stick_Audit_and_Hardened_Package.zip,downloads_natural_math/Natural_Math_Stick_Audit_and_Hardened_Package.zip,99_ARCHIVES/Natural_Math_Stick_Audit_and_Hardened_Package.zip,15277,2026-06-15T18:49:43.984759+00:00,2026-06-15T18:49:44.612810+00:00,505c61d993f535f23b012c7e822f416e718b0171a7f002685e501422efed1c0e,zip,99_ARCHIVES,,REFERENCE_IMPLEMENTATION,,natural math stick audit and hardened package,Archived hardened package.
CNTM- Carbon Nanotube Morphology Memory.docx,CNTM- Carbon Nanotube Morphology Memory.docx,cognitive_basin/CNT Morphology/CNTM- Carbon Nanotube Morphology Memory.docx,04_CNTM_SIMULATOR/CNTM- Carbon Nanotube Morphology Memory.docx,20521,2026-06-12T04:35:23.898673+00:00,2026-06-12T04:35:24.603781+00:00,cc89a81e4dea44677fc86c9ef558636d371513f92a9ce798a1e29001fb99d831,docx,04_CNTM_SIMULATOR,,CURRENT_SPECIFICATION,,cntm carbon nanotube morphology memory,Primary CNTM concept/spec document found.
CNT Morphology Simulator First Prompt to Grok Build from ChatGPT (had to remove 2 evo 2 prize references).docx,CNT Morphology Simulator First Prompt to Grok Build from ChatGPT _had to remove 2 evo 2 prize references_.docx,cognitive_basin/CNT Morphology/CNT Morphology Simulator First Prompt to Grok Build from ChatGPT (had to remove 2 evo 2 prize references).docx,04_CNTM_SIMULATOR/CNT Morphology Simulator First Prompt to Grok Build from ChatGPT _had to remove 2 evo 2 prize references_.docx,26091,2026-06-12T03:02:13.177739+00:00,2026-06-12T03:02:13.632132+00:00,e1b3df7bed1d707ac719171bbed926c3a4d6704ac99204e40730171be843c78a,docx,04_CNTM_SIMULATOR,,THEORY_CONTEXT,,cnt morphology simulator first prompt to grok build from chatgpt had to remove evo prize references,Simulator build prompt lineage.
test_cnt_morphology.py,test_cnt_morphology.py,fractalish_build/fractalish-ai/tests/test_cnt_morphology.py,10_TESTS_AND_FROZEN_RESULTS/test_cnt_morphology.py,6324,2026-06-12T02:58:32.710001+00:00,2026-06-12T04:07:32.575771+00:00,b01f4d23cea342e3664b2ab1f22d03fdda83a1c8740c5139ee4bd483ce63280b,py,10_TESTS_AND_FROZEN_RESULTS,,REFERENCE_IMPLEMENTATION,,test cnt morphology,CNT morphology tests.
test_natural_math_adapter.py,test_natural_math_adapter.py,fractalish_build/fractalish-ai/tests/test_natural_math_adapter.py,10_TESTS_AND_FROZEN_RESULTS/test_natural_math_adapter.py,608,2026-06-14T05:21:13.665056+00:00,2026-06-14T05:21:13.665056+00:00,a497d123eeeddd669d14c4ccee907913cb16a714fe6eec90d73e86889a2efdf7,py,10_TESTS_AND_FROZEN_RESULTS,,REFERENCE_IMPLEMENTATION,,test natural math adapter,Adapter tests.
test_natural_math_v3_6_oracles.py,test_natural_math_v3_6_oracles.py,fractalish_build/fractalish-ai/tests/test_natural_math_v3_6_oracles.py,10_TESTS_AND_FROZEN_RESULTS/test_natural_math_v3_6_oracles.py,1564,2026-06-10T15:47:09.071520+00:00,2026-06-10T16:10:12.597584+00:00,74717c4fc0c6e393aa0813605044a82c87e1b8083c26bb7ba51e58aa14fa5784,py,10_TESTS_AND_FROZEN_RESULTS,,REFERENCE_IMPLEMENTATION,,test natural math oracles,Oracle tests.
archive.zip,archive.zip,fractalish_build/fractalish-ai/cnt_morphology_outputs/freezes/CNT_Morphology_v0_2_first_demo_freeze/archive.zip,10_TESTS_AND_FROZEN_RESULTS/archive.zip,364589,2026-06-12T04:09:35.550189+00:00,2026-06-12T04:09:35.706225+00:00,798e6d10e91f35bd597e117f775f79570ebbf0439800ecd73d058c0839bccde4,zip,10_TESTS_AND_FROZEN_RESULTS,,GENERATED_RESULT,,archive,Frozen CNTM demo outputs and manifests.
FILE_TREE.txt,FILE_TREE.txt,fractalish_build/fractalish-ai/cnt_morphology_outputs/freezes/CNT_Morphology_v0_2_first_demo_freeze/FILE_TREE.txt,10_TESTS_AND_FROZEN_RESULTS/FILE_TREE.txt,10127,2026-06-12T04:09:35.549191+00:00,2026-06-12T04:09:35.549191+00:00,57d139b504e7232aec7858a26d2b841e2bdad3d2a9a6a640409cdddfbd72dba5,txt,10_TESTS_AND_FROZEN_RESULTS,,GENERATED_RESULT,,file tree,Frozen CNTM demo outputs and manifests.
FREEZE_REPORT.md,FREEZE_REPORT.md,fractalish_build/fractalish-ai/cnt_morphology_outputs/freezes/CNT_Morphology_v0_2_first_demo_freeze/FREEZE_REPORT.md,10_TESTS_AND_FROZEN_RESULTS/FREEZE_REPORT.md,923,2026-06-12T04:09:35.550189+00:00,2026-06-12T04:09:35.550189+00:00,b083e5a6c8ab1b6d179cb9478a43d81a24abeff10a8aef222a28d2289cd21087,md,10_TESTS_AND_FROZEN_RESULTS,,GENERATED_RESULT,,freeze report,Frozen CNTM demo outputs and manifests.
MANIFEST.json,MANIFEST.json,fractalish_build/fractalish-ai/cnt_morphology_outputs/freezes/CNT_Morphology_v0_2_first_demo_freeze/MANIFEST.json,10_TESTS_AND_FROZEN_RESULTS/MANIFEST.json,975,2026-06-12T04:09:35.515191+00:00,2026-06-12T04:09:35.515191+00:00,fddda3251567d99b953746cbbf4340becdce4825299a69f8f10aa1a2b43b4e02,json,10_TESTS_AND_FROZEN_RESULTS,,GENERATED_RESULT,,manifest,Frozen CNTM demo outputs and manifests.
SHA256SUMS.txt,SHA256SUMS.txt,fractalish_build/fractalish-ai/cnt_morphology_outputs/freezes/CNT_Morphology_v0_2_first_demo_freeze/SHA256SUMS.txt,10_TESTS_AND_FROZEN_RESULTS/SHA256SUMS.txt,24132,2026-06-12T04:09:35.516192+00:00,2026-06-12T04:09:35.516192+00:00,67324472fd16cf9bc5d76ba89dc9389558a7e5211abbebe1250ff45b07767a00,txt,10_TESTS_AND_FROZEN_RESULTS,,GENERATED_RESULT,,shasums,Frozen CNTM demo outputs and manifests.
aligned_forest_seed42_render.png,aligned_forest_seed42_render.png,fractalish_build/fractalish-ai/cnt_morphology_outputs/freezes/CNT_Morphology_v0_2_first_demo_freeze/representative_renders/aligned_forest_seed42_render.png,10_TESTS_AND_FROZEN_RESULTS/aligned_forest_seed42_render.png,78526,2026-06-12T04:09:33.291755+00:00,2026-06-12T04:08:36.792395+00:00,ce5ced18dc8d3a2ecfc5191af5c07c0dbef781d8f50e1807881859d043947858,png,10_TESTS_AND_FROZEN_RESULTS,,GENERATED_RESULT,,aligned forest seed render,Frozen CNTM demo outputs and manifests.
branched_network_seed42_render.png,branched_network_seed42_render.png,fractalish_build/fractalish-ai/cnt_morphology_outputs/freezes/CNT_Morphology_v0_2_first_demo_freeze/representative_renders/branched_network_seed42_render.png,10_TESTS_AND_FROZEN_RESULTS/branched_network_seed42_render.png,71643,2026-06-12T04:09:33.569051+00:00,2026-06-12T04:08:47.188184+00:00,35be6032c7c5070d9d3d88b80d5ae63f2e9837470f931c955a13b9ec19473be7,png,10_TESTS_AND_FROZEN_RESULTS,,GENERATED_RESULT,,branched network seed render,Frozen CNTM demo outputs and manifests.
coiled_growth_seed42_render.png,coiled_growth_seed42_render.png,fractalish_build/fractalish-ai/cnt_morphology_outputs/freezes/CNT_Morphology_v0_2_first_demo_freeze/representative_renders/coiled_growth_seed42_render.png,10_TESTS_AND_FROZEN_RESULTS/coiled_growth_seed42_render.png,133254,2026-06-12T04:09:34.156603+00:00,2026-06-12T04:08:54.797443+00:00,ce6ee40416c940c8d3ac33073c3b0a6c315312be804d7861d8dc0504ee9017b7,png,10_TESTS_AND_FROZEN_RESULTS,,GENERATED_RESULT,,coiled growth seed render,Frozen CNTM demo outputs and manifests.
sparse_flux_limited_seed42_render.png,sparse_flux_limited_seed42_render.png,fractalish_build/fractalish-ai/cnt_morphology_outputs/freezes/CNT_Morphology_v0_2_first_demo_freeze/representative_renders/sparse_flux_limited_seed42_render.png,10_TESTS_AND_FROZEN_RESULTS/sparse_flux_limited_seed42_render.png,35417,2026-06-12T04:09:34.511120+00:00,2026-06-12T04:09:04.586670+00:00,37405def47656ba03d1c0fc3893dcaa36e46f28f6713408af2c8c7ece6324aef,png,10_TESTS_AND_FROZEN_RESULTS,,GENERATED_RESULT,,sparse flux limited seed render,Frozen CNTM demo outputs and manifests.
trail_jammed_seed42_render.png,trail_jammed_seed42_render.png,fractalish_build/fractalish-ai/cnt_morphology_outputs/freezes/CNT_Morphology_v0_2_first_demo_freeze/representative_renders/trail_jammed_seed42_render.png,10_TESTS_AND_FROZEN_RESULTS/trail_jammed_seed42_render.png,68486,2026-06-12T04:09:34.803150+00:00,2026-06-12T04:09:09.357302+00:00,6ea8e1b4ef0ed2b8d71350afb5f4b7c3da3e7e993cd73316ba7cc4c03bd2ea7e,png,10_TESTS_AND_FROZEN_RESULTS,,GENERATED_RESULT,,trail jammed seed render,Frozen CNTM demo outputs and manifests.
